"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Area","Prediccion_Petal.Length"
5.1,3.5,1.4,0.2,"setosa",17.85,2.37656481949723
4.9,3,1.4,0.2,"setosa",14.7,2.00487822384627
4.7,3.2,1.3,0.2,"setosa",15.04,1.6331916281953
4.6,3.1,1.5,0.2,"setosa",14.26,1.44734833036981
5,3.6,1.4,0.2,"setosa",18,2.19072152167175
5.4,3.9,1.7,0.4,"setosa",21.06,2.93409471297369
4.6,3.4,1.4,0.3,"setosa",15.64,1.44734833036981
5,3.4,1.5,0.2,"setosa",17,2.19072152167175
4.4,2.9,1.4,0.2,"setosa",12.76,1.07566173471884
4.9,3.1,1.5,0.1,"setosa",15.19,2.00487822384627
5.4,3.7,1.5,0.2,"setosa",19.98,2.93409471297369
4.8,3.4,1.6,0.2,"setosa",16.32,1.81903492602078
4.8,3,1.4,0.1,"setosa",14.4,1.81903492602078
4.3,3,1.1,0.1,"setosa",12.9,0.889818436893359
5.8,4,1.2,0.2,"setosa",23.2,3.67746790427562
5.7,4.4,1.5,0.4,"setosa",25.08,3.49162460645014
5.4,3.9,1.3,0.4,"setosa",21.06,2.93409471297369
5.1,3.5,1.4,0.3,"setosa",17.85,2.37656481949723
5.7,3.8,1.7,0.3,"setosa",21.66,3.49162460645014
5.1,3.8,1.5,0.3,"setosa",19.38,2.37656481949723
5.4,3.4,1.7,0.2,"setosa",18.36,2.93409471297369
5.1,3.7,1.5,0.4,"setosa",18.87,2.37656481949723
4.6,3.6,1,0.2,"setosa",16.56,1.44734833036981
5.1,3.3,1.7,0.5,"setosa",16.83,2.37656481949723
4.8,3.4,1.9,0.2,"setosa",16.32,1.81903492602078
5,3,1.6,0.2,"setosa",15,2.19072152167175
5,3.4,1.6,0.4,"setosa",17,2.19072152167175
5.2,3.5,1.5,0.2,"setosa",18.2,2.56240811732272
5.2,3.4,1.4,0.2,"setosa",17.68,2.56240811732272
4.7,3.2,1.6,0.2,"setosa",15.04,1.6331916281953
4.8,3.1,1.6,0.2,"setosa",14.88,1.81903492602078
5.4,3.4,1.5,0.4,"setosa",18.36,2.93409471297369
5.2,4.1,1.5,0.1,"setosa",21.32,2.56240811732272
5.5,4.2,1.4,0.2,"setosa",23.1,3.11993801079917
4.9,3.1,1.5,0.2,"setosa",15.19,2.00487822384627
5,3.2,1.2,0.2,"setosa",16,2.19072152167175
5.5,3.5,1.3,0.2,"setosa",19.25,3.11993801079917
4.9,3.6,1.4,0.1,"setosa",17.64,2.00487822384627
4.4,3,1.3,0.2,"setosa",13.2,1.07566173471884
5.1,3.4,1.5,0.2,"setosa",17.34,2.37656481949723
5,3.5,1.3,0.3,"setosa",17.5,2.19072152167175
4.5,2.3,1.3,0.3,"setosa",10.35,1.26150503254433
4.4,3.2,1.3,0.2,"setosa",14.08,1.07566173471884
5,3.5,1.6,0.6,"setosa",17.5,2.19072152167175
5.1,3.8,1.9,0.4,"setosa",19.38,2.37656481949723
4.8,3,1.4,0.3,"setosa",14.4,1.81903492602078
5.1,3.8,1.6,0.2,"setosa",19.38,2.37656481949723
4.6,3.2,1.4,0.2,"setosa",14.72,1.44734833036981
5.3,3.7,1.5,0.2,"setosa",19.61,2.7482514151482
5,3.3,1.4,0.2,"setosa",16.5,2.19072152167175
7,3.2,4.7,1.4,"versicolor",22.4,5.90758747818143
6.4,3.2,4.5,1.5,"versicolor",20.48,4.79252769122853
6.9,3.1,4.9,1.5,"versicolor",21.39,5.72174418035595
5.5,2.3,4,1.3,"versicolor",12.65,3.11993801079917
6.5,2.8,4.6,1.5,"versicolor",18.2,4.97837098905401
5.7,2.8,4.5,1.3,"versicolor",15.96,3.49162460645014
6.3,3.3,4.7,1.6,"versicolor",20.79,4.60668439340304
4.9,2.4,3.3,1,"versicolor",11.76,2.00487822384627
6.6,2.9,4.6,1.3,"versicolor",19.14,5.1642142868795
5.2,2.7,3.9,1.4,"versicolor",14.04,2.56240811732272
5,2,3.5,1,"versicolor",10,2.19072152167175
5.9,3,4.2,1.5,"versicolor",17.7,3.86331120210111
6,2.2,4,1,"versicolor",13.2,4.04915449992659
6.1,2.9,4.7,1.4,"versicolor",17.69,4.23499779775207
5.6,2.9,3.6,1.3,"versicolor",16.24,3.30578130862465
6.7,3.1,4.4,1.4,"versicolor",20.77,5.35005758470498
5.6,3,4.5,1.5,"versicolor",16.8,3.30578130862465
5.8,2.7,4.1,1,"versicolor",15.66,3.67746790427562
6.2,2.2,4.5,1.5,"versicolor",13.64,4.42084109557756
5.6,2.5,3.9,1.1,"versicolor",14,3.30578130862465
5.9,3.2,4.8,1.8,"versicolor",18.88,3.86331120210111
6.1,2.8,4,1.3,"versicolor",17.08,4.23499779775207
6.3,2.5,4.9,1.5,"versicolor",15.75,4.60668439340304
6.1,2.8,4.7,1.2,"versicolor",17.08,4.23499779775207
6.4,2.9,4.3,1.3,"versicolor",18.56,4.79252769122853
6.6,3,4.4,1.4,"versicolor",19.8,5.1642142868795
6.8,2.8,4.8,1.4,"versicolor",19.04,5.53590088253046
6.7,3,5,1.7,"versicolor",20.1,5.35005758470498
6,2.9,4.5,1.5,"versicolor",17.4,4.04915449992659
5.7,2.6,3.5,1,"versicolor",14.82,3.49162460645014
5.5,2.4,3.8,1.1,"versicolor",13.2,3.11993801079917
5.5,2.4,3.7,1,"versicolor",13.2,3.11993801079917
5.8,2.7,3.9,1.2,"versicolor",15.66,3.67746790427562
6,2.7,5.1,1.6,"versicolor",16.2,4.04915449992659
5.4,3,4.5,1.5,"versicolor",16.2,2.93409471297369
6,3.4,4.5,1.6,"versicolor",20.4,4.04915449992659
6.7,3.1,4.7,1.5,"versicolor",20.77,5.35005758470498
6.3,2.3,4.4,1.3,"versicolor",14.49,4.60668439340304
5.6,3,4.1,1.3,"versicolor",16.8,3.30578130862465
5.5,2.5,4,1.3,"versicolor",13.75,3.11993801079917
5.5,2.6,4.4,1.2,"versicolor",14.3,3.11993801079917
6.1,3,4.6,1.4,"versicolor",18.3,4.23499779775207
5.8,2.6,4,1.2,"versicolor",15.08,3.67746790427562
5,2.3,3.3,1,"versicolor",11.5,2.19072152167175
5.6,2.7,4.2,1.3,"versicolor",15.12,3.30578130862465
5.7,3,4.2,1.2,"versicolor",17.1,3.49162460645014
5.7,2.9,4.2,1.3,"versicolor",16.53,3.49162460645014
6.2,2.9,4.3,1.3,"versicolor",17.98,4.42084109557756
5.1,2.5,3,1.1,"versicolor",12.75,2.37656481949723
5.7,2.8,4.1,1.3,"versicolor",15.96,3.49162460645014
6.3,3.3,6,2.5,"virginica",20.79,4.60668439340304
5.8,2.7,5.1,1.9,"virginica",15.66,3.67746790427562
7.1,3,5.9,2.1,"virginica",21.3,6.09343077600692
6.3,2.9,5.6,1.8,"virginica",18.27,4.60668439340304
6.5,3,5.8,2.2,"virginica",19.5,4.97837098905401
7.6,3,6.6,2.1,"virginica",22.8,7.02264726513434
4.9,2.5,4.5,1.7,"virginica",12.25,2.00487822384627
7.3,2.9,6.3,1.8,"virginica",21.17,6.46511737165788
6.7,2.5,5.8,1.8,"virginica",16.75,5.35005758470498
7.2,3.6,6.1,2.5,"virginica",25.92,6.2792740738324
6.5,3.2,5.1,2,"virginica",20.8,4.97837098905401
6.4,2.7,5.3,1.9,"virginica",17.28,4.79252769122853
6.8,3,5.5,2.1,"virginica",20.4,5.53590088253046
5.7,2.5,5,2,"virginica",14.25,3.49162460645014
5.8,2.8,5.1,2.4,"virginica",16.24,3.67746790427562
6.4,3.2,5.3,2.3,"virginica",20.48,4.79252769122853
6.5,3,5.5,1.8,"virginica",19.5,4.97837098905401
7.7,3.8,6.7,2.2,"virginica",29.26,7.20849056295982
